zi,Preinitial1,Preinitial 2,Initial,Medial,Nucleus,Final,Postcoda *-ʔ,Postcoda *-s,,Source,,
埃, ,,qˤ, ,ə , , ,,,B&SOC2015-10-13,,
哀, ,,ʔˤ, ,ə,j , ,,,B&SOC2015-10-13,,
藹, ,,qˤ, ,a ,t ,,s ,,B&SOC2015-10-13,,
阸, ,,qˤ,r ,i ,k ,,s ,,B&SOC2015-10-13,,
隘, ,,qˤ,r ,i ,k ,,s ,,B&SOC2015-10-13,,
愛, ,,qˤ, ,ə ,p ,,s ,,B&SOC2015-10-13,,
僾, ,,qˤ, ,ə ,p ,,s ,,B&SOC2015-10-13,,
艾,C- ,,ŋˤ, ,a ,t ,,s ,,B&SOC2015-10-13,,
鞌, ,,ʔˤ, ,a ,n , ,,,B&SOC2015-10-13,,
鞍, ,,ʔˤ, ,a ,n , ,,,B&SOC2015-10-13,,
安, ,,ʔˤ, ,a ,n , ,,,B&SOC2015-10-13,,
安, ,,ʔˤ, ,a ,n , ,,,B&SOC2015-10-13,,
安, ,,ʔˤ, ,a ,n , ,,,B&SOC2015-10-13,,
晻, ,,qˤ, ,o ,m ,ʔ ,,,B&SOC2015-10-13,,
按, ,,ʔˤ, ,a ,n ,,s ,,B&SOC2015-10-13,,
案, ,,ʔˤ, ,a ,n ,,s ,,B&SOC2015-10-13,,
晻, ,,qˤ, ,o ,m ,ʔ,s ,,B&SOC2015-10-13,,
暗, ,,qˤ, ,u ,m ,,s ,,B&SOC2015-10-13,,
黬, ,,kˤ,r ,ə ,m , ,,,B&SOC2015-10-13,,
岸, ,,ŋˤ, ,a ,r ,,s ,,B&SOC2015-10-13,,
豻,m- ,,ɢˤ, ,a ,r ,,s ,,B&SOC2015-10-13,,
卬,k- ,,ŋˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
卬, ,,ŋˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
㼜, ,,ʔˤ, ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
敖, ,,ŋˤ, ,a,w , ,,,B&SOC2015-10-13,,
囂, ,,ŋˤ, ,a,w , ,,,B&SOC2015-10-13,,
敖, ,,ŋˤ, ,a,w , ,,,B&SOC2015-10-13,,
嗸, ,,ŋˤ, ,a,w , ,,,B&SOC2015-10-13,,
熬, ,,ŋˤ, ,a,w , ,,,B&SOC2015-10-13,,
媼, ,,ʔˤ, ,u , ,ʔ ,,,B&SOC2015-10-13,,
奧, ,,ʔˤ, ,u ,k ,,s ,,B&SOC2015-10-13,,
澳, ,,ʔˤ, ,u ,k ,,s ,,B&SOC2015-10-13,,
巴, ,,pˤ,r ,a , , ,,,B&SOC2015-10-13,,
巴, ,,pˤ,r ,a , , ,,,B&SOC2015-10-13,,
豝, ,,pˤ,r ,a , , ,,,B&SOC2015-10-13,,
八, ,,pˤ,r ,e ,t , ,,,B&SOC2015-10-13,,
軷, ,,bˤ, ,a ,t , ,,,B&SOC2015-10-13,,
茇,m- ,,pˤ, ,a ,t , ,,,B&SOC2015-10-13,,
拔, ,,bˤ,r ,o ,t , ,,,B&SOC2015-10-13,,
茇, ,,pˤ, ,a ,t , ,,,B&SOC2015-10-13,,
胈, ,,pˤ, ,o ,t , ,,,B&SOC2015-10-13,,
