BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
埃	 			q	ˤ	 	ə 	 	 			B&SOC2015-10-13	
哀	 			ʔ	ˤ	 	ə	j 	 			B&SOC2015-10-13	
藹	 			q	ˤ	 	a 	t 		s 		B&SOC2015-10-13	
阸	 			q	ˤ	r 	i 	k 		s 		B&SOC2015-10-13	
隘	 			q	ˤ	r 	i 	k 		s 		B&SOC2015-10-13	
愛	 			q	ˤ	 	ə 	p 		s 		B&SOC2015-10-13	
僾	 			q	ˤ	 	ə 	p 		s 		B&SOC2015-10-13	
艾	C- 			ŋ	ˤ	 	a 	t 		s 		B&SOC2015-10-13	
鞌	 			ʔ	ˤ	 	a 	n 	 			B&SOC2015-10-13	
鞍	 			ʔ	ˤ	 	a 	n 	 			B&SOC2015-10-13	
安	 			ʔ	ˤ	 	a 	n 	 			B&SOC2015-10-13	
晻	 			q	ˤ	 	o 	m 	ʔ 			B&SOC2015-10-13	
按	 			ʔ	ˤ	 	a 	n 		s 		B&SOC2015-10-13	
案	 			ʔ	ˤ	 	a 	n 		s 		B&SOC2015-10-13	
晻	 			q	ˤ	 	o 	m 	ʔ	s 		B&SOC2015-10-13	
暗	 			q	ˤ	 	u 	m 		s 		B&SOC2015-10-13	
黬	 			k	ˤ	r 	ə 	m 	 			B&SOC2015-10-13	
岸	 			ŋ	ˤ	 	a 	r 		s 		B&SOC2015-10-13	
豻	m- 			ɢ	ˤ	 	a 	r 		s 		B&SOC2015-10-13	
卬	k- 			ŋ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
卬	 			ŋ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
㼜	 			ʔ	ˤ	 	a 	ŋ 		s 		B&SOC2015-10-13	
囂	 			ŋ	ˤ	 	a	w 	 			B&SOC2015-10-13	
敖	 			ŋ	ˤ	 	a	w 	 			B&SOC2015-10-13	
嗸	 			ŋ	ˤ	 	a	w 	 			B&SOC2015-10-13	
熬	 			ŋ	ˤ	 	a	w 	 			B&SOC2015-10-13	
媼	 			ʔ	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
奧	 			ʔ	ˤ	 	u 	k 		s 		B&SOC2015-10-13	
澳	 			ʔ	ˤ	 	u 	k 		s 		B&SOC2015-10-13	
巴	 			p	ˤ	r 	a 	 	 			B&SOC2015-10-13	
豝	 			p	ˤ	r 	a 	 	 			B&SOC2015-10-13	
八	 			p	ˤ	r 	e 	t 	 			B&SOC2015-10-13	
軷	 			b	ˤ	 	a 	t 	 			B&SOC2015-10-13	
茇	m- 			p	ˤ	 	a 	t 	 			B&SOC2015-10-13	
拔	 			b	ˤ	r 	o 	t 	 			B&SOC2015-10-13	
茇	 			p	ˤ	 	a 	t 	 			B&SOC2015-10-13	
胈	 			p	ˤ	 	o 	t 	 			B&SOC2015-10-13	
把	 			p	ˤ	r 	a 	 	ʔ 			B&SOC2015-10-13	
罷	 			b	ˤ	r 	a	j 	ʔ 			B&SOC2015-10-13	
霸	 			p	ˤ	r 	a 	k 		s 		B&SOC2015-10-13	
白	 			b	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
