Matrix Consonants	p	pʰ	b	m	t	tʰ	d	n	ts	tsʰ	dz	s	l	r	k	kʰ	g	ŋ	kʷ	kʷʰ	gʷ	ŋʷ	ʔ	ʔʷ	q	qʰ	ɢ	qʷ	qʷʰ	ɢʷ	wk	j
p	10	9	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pʰ	9	10	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b	8	7	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m	5	5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t	0	0	0	0	10	9	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tʰ	0	0	0	0	9	10	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d	0	0	0	0	8	7	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n	0	0	0	0	5	5	5	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ts	0	0	0	0	0	0	0	0	10	9	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsʰ	0	0	0	0	0	0	0	0	9	10	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dz	0	0	0	0	0	0	0	0	8	7	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s	0	0	0	0	0	0	0	0	5	5	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r	0	0	0	0	0	0	0	5	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	8	5	4	0	0	0	0	0	0	0	0	0	0	0	4	0
kʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	7	5	0	4	0	0	0	0	0	0	0	0	0	0	4	0
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	10	5	0	0	4	0	0	0	0	0	0	0	0	0	4	0
ŋ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0
kʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	9	8	5	0	0	0	0	0	0	0	0	4	0
kʷʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	10	7	5	0	0	0	0	0	0	0	0	4	0
gʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	7	10	5	0	0	0	0	0	0	0	0	4	0
ŋʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	5	5	10	0	0	0	0	0	0	0	0	0	0
ʔ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	4	4	4	0	0	0	0	0
ʔʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	4	4	4	0	0
q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	9	8	4	0	0	0	0
qʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	10	7	0	4	0	0	0
ɢ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	7	10	0	0	4	0	0
qʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	10	9	8	0	0
qʷʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	9	10	7	0	0
ɢʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	8	7	10	0	0
wk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	4	4	4	0	0	0	0	0	0	0	0	0	10	0
j	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
